CourseId,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Lecture,1,"René Witte
Introduction
Neural Networks",No link available,ORG
40355,Lecture,1,101,No link available,CARDINAL
40355,Lecture,1,"Perceptron
Backpropagation
TensorFlow & Keras
Word Embeddings",No link available,ORG
40355,Lecture,1,One,No link available,CARDINAL
40355,Lecture,1,Word Embeddings,No link available,WORK_OF_ART
40355,Lecture,1,Text Processing Neural,No link available,ORG
40355,Lecture,1,Task,No link available,PRODUCT
40355,Lecture,1,"Vector Databases
Document",No link available,WORK_OF_ART
40355,Lecture,1,Notes,No link available,PRODUCT
40355,Lecture,1,9.1,No link available,CARDINAL
40355,Lecture,1,9,No link available,CARDINAL
40355,Lecture,1,Neural Networks & Word Embeddings,No link available,ORG
40355,Lecture,1,Winter 2024,No link available,DATE
40355,Lecture,1,Department of Computer Science,No link available,ORG
40355,Lecture,1,Software Engineering,No link available,ORG
40355,Lecture,1,Concordia University,No link available,ORG
40355,Lecture,1,9.2,No link available,CARDINAL
40355,Lecture,1,2,No link available,CARDINAL
40355,Lecture,1,3,No link available,CARDINAL
40355,Lecture,1,4,No link available,CARDINAL
40355,Lecture,1,Text Processing Neural Network,No link available,ORG
40355,Lecture,1,5,No link available,CARDINAL
40355,Lecture,1,6,No link available,CARDINAL
40355,Lecture,1,9.3,No link available,CARDINAL
40355,Lecture,1,"Chatbot Approaches
Copyright 2019",No link available,PERSON
40355,Lecture,1,Manning Publications Co.,No link available,ORG
40355,Lecture,1,9.4,No link available,CARDINAL
40355,Lecture,1,"Generative Models
Example
Generate",No link available,WORK_OF_ART
40355,Lecture,1,King,No link available,PERSON
40355,Lecture,1,Paris,No link available,GPE
40355,Lecture,1,France,No link available,GPE
40355,Lecture,1,Tokyo,No link available,GPE
40355,Lecture,1,Today,No link available,DATE
40355,Lecture,1,• Building,No link available,PRODUCT
40355,Lecture,1,• Math,No link available,PRODUCT
40355,Lecture,1,• Neural Networks,No link available,ORG
40355,Lecture,1,• Document Vectors,No link available,WORK_OF_ART
40355,Lecture,1,Vector,No link available,PERSON
40355,Lecture,1,"Task 1
9.5",No link available,PRODUCT
40355,Lecture,1,9.6,No link available,CARDINAL
40355,Lecture,1,one,No link available,CARDINAL
40355,Lecture,1,9.7,No link available,CARDINAL
40355,Lecture,1,Basic Perceptron (Franz Rosenblatt,No link available,ORG
40355,Lecture,1,1957,No link available,DATE
40355,Lecture,1,9.8,No link available,CARDINAL
40355,Lecture,1,Perceptron Details,No link available,ORG
40355,Lecture,1,Mathematical Perceptron,No link available,PERSON
40355,Lecture,1,x0,No link available,PERSON
40355,Lecture,1,x1,No link available,PERSON
40355,Lecture,1,Weights,No link available,NORP
40355,Lecture,1,"w0,w1",No link available,PRODUCT
40355,Lecture,1,0,No link available,CARDINAL
40355,Lecture,1,"xi
Activation",No link available,PERSON
40355,Lecture,1,1,No link available,CARDINAL
40355,Lecture,1,≥,No link available,PERSON
40355,Lecture,1,• Bias,No link available,WORK_OF_ART
40355,Lecture,1,• Notation,No link available,PRODUCT
40355,Lecture,1,9.9,No link available,CARDINAL
40355,Lecture,1,Perceptron,No link available,NORP
40355,Lecture,1,Biological Neuron,No link available,PERSON
40355,Lecture,1,Task 2,No link available,PRODUCT
40355,Lecture,1,9.10,No link available,CARDINAL
40355,Lecture,1,"Perceptron Learning
Learning",No link available,ORG
40355,Lecture,1,• w,No link available,PRODUCT
40355,Lecture,1,"xi
(",No link available,PERSON
40355,Lecture,1,• η,No link available,PRODUCT
40355,Lecture,1,0.2,No link available,CARDINAL
40355,Lecture,1,• Going,No link available,ORG
40355,Lecture,1,9.11,No link available,CARDINAL
40355,Lecture,1,9.12,No link available,CARDINAL
40355,Lecture,1,9.13,No link available,CARDINAL
40355,Lecture,1,Perceptron Learning Rule,No link available,ORG
40355,Lecture,1,• A,No link available,PRODUCT
40355,Lecture,1,• Two,No link available,PRODUCT
40355,Lecture,1,three,No link available,CARDINAL
40355,Lecture,1,• Example,No link available,PRODUCT
40355,Lecture,1,XOR,No link available,ORG
40355,Lecture,1,Minksy & Papert,No link available,ORG
40355,Lecture,1,∗[Marvin Minsky,No link available,PERSON
40355,Lecture,1,Seymour Papert,No link available,PERSON
40355,Lecture,1,MIT Press,No link available,ORG
40355,Lecture,1,1969,No link available,DATE
40355,Lecture,1,9.14,No link available,CARDINAL
40355,Lecture,1,9.15,No link available,CARDINAL
40355,Lecture,1,• First,No link available,PRODUCT
40355,Lecture,1,1980s,No link available,DATE
40355,Lecture,1,• Basic,No link available,PRODUCT
40355,Lecture,1,• Learning,No link available,ORG
40355,Lecture,1,two,No link available,CARDINAL
40355,Lecture,1,• first,No link available,PRODUCT
40355,Lecture,1,9.16,No link available,CARDINAL
40355,Lecture,1,Weighted,No link available,ORG
40355,Lecture,1,−,No link available,CARDINAL
40355,Lecture,1,Activation,No link available,PERSON
40355,Lecture,1,9.17,No link available,CARDINAL
40355,Lecture,1,"− f (x)|
Cost",No link available,PERSON
40355,Lecture,1,Cross-Entropy,No link available,ORG
40355,Lecture,1,Task 4,No link available,CARDINAL
