course,subject,number
http://example.org/vocab/course/5477,COMP,465
http://example.org/vocab/course/5605,COMP,6651
http://example.org/vocab/course/5527,COMP,5481
http://example.org/vocab/course/5570,COMP,6281
http://example.org/vocab/course/5409,COMP,352
http://example.org/vocab/course/5411,COMP,354
http://example.org/vocab/course/5526,COMP,5461
http://example.org/vocab/course/5410,COMP,353
http://example.org/vocab/course/5482,COMP,472
http://example.org/vocab/course/5589,COMP,6481
http://example.org/vocab/course/5534,COMP,5531
http://example.org/vocab/course/5415,COMP,371
http://example.org/vocab/course/5572,COMP,6321
http://example.org/vocab/course/5406,COMP,346
http://example.org/vocab/course/5598,COMP,6591
http://example.org/vocab/course/5603,COMP,6641
http://example.org/vocab/course/5607,COMP,6661
http://example.org/vocab/course/40329,COMP,108
http://example.org/vocab/course/40331,COMP,208
http://example.org/vocab/course/40332,COMP,5261
http://example.org/vocab/course/40335,COMP,5611
http://example.org/vocab/course/40344,COMP,6311
http://example.org/vocab/course/40345,COMP,6421
http://example.org/vocab/course/40348,COMP,6511
http://example.org/vocab/course/40353,COMP,6721
http://example.org/vocab/course/40354,COMP,6731
http://example.org/vocab/course/40355,COMP,6741
http://example.org/vocab/course/40356,COMP,7921
http://example.org/vocab/course/40357,COMP,7941
http://example.org/vocab/course/40358,COMP,8901
http://example.org/vocab/course/44019,COMP,6611
http://example.org/vocab/course/45940,COMP,475
http://example.org/vocab/course/46579,COMP,498
http://example.org/vocab/course/46580,COMP,691
http://example.org/vocab/course/46581,COMP,729
http://example.org/vocab/course/46582,COMP,739
http://example.org/vocab/course/46583,COMP,749
http://example.org/vocab/course/46584,COMP,759
http://example.org/vocab/course/46585,COMP,769
http://example.org/vocab/course/46586,COMP,779
http://example.org/vocab/course/47980,COMP,6331
http://example.org/vocab/course/48285,COMP,6971
http://example.org/vocab/course/48956,COMP,499
http://example.org/vocab/course/48967,COMP,6821
http://example.org/vocab/course/49296,COMP,6631
http://example.org/vocab/course/49309,COMP,6341
http://example.org/vocab/course/49310,COMP,425
http://example.org/vocab/course/49700,COMP,333
http://example.org/vocab/course/49701,COMP,432
http://example.org/vocab/course/49712,COMP,6381
http://example.org/vocab/course/50123,COMP,6371
http://example.org/vocab/course/50437,COMP,493
http://example.org/vocab/course/50448,COMP,438
http://example.org/vocab/course/50482,COMP,6981
http://example.org/vocab/course/5326,COMP,201
http://example.org/vocab/course/5337,COMP,218
http://example.org/vocab/course/5350,COMP,228
http://example.org/vocab/course/5353,COMP,232
http://example.org/vocab/course/5354,COMP,233
http://example.org/vocab/course/5363,COMP,248
http://example.org/vocab/course/5364,COMP,249
http://example.org/vocab/course/5391,COMP,326
http://example.org/vocab/course/5394,COMP,335
http://example.org/vocab/course/5398,COMP,339
http://example.org/vocab/course/5405,COMP,345
http://example.org/vocab/course/5407,COMP,348
http://example.org/vocab/course/5412,COMP,361
http://example.org/vocab/course/5414,COMP,367
http://example.org/vocab/course/5416,COMP,376
http://example.org/vocab/course/5446,COMP,426
http://example.org/vocab/course/5447,COMP,427
http://example.org/vocab/course/5449,COMP,428
http://example.org/vocab/course/5454,COMP,433
http://example.org/vocab/course/5461,COMP,442
http://example.org/vocab/course/5463,COMP,444
http://example.org/vocab/course/5464,COMP,445
http://example.org/vocab/course/5469,COMP,451
http://example.org/vocab/course/5483,COMP,473
http://example.org/vocab/course/5484,COMP,474
http://example.org/vocab/course/5485,COMP,476
http://example.org/vocab/course/5486,COMP,477
http://example.org/vocab/course/5487,COMP,478
http://example.org/vocab/course/5488,COMP,479
http://example.org/vocab/course/5491,COMP,490
http://example.org/vocab/course/5492,COMP,492
http://example.org/vocab/course/5493,COMP,495
http://example.org/vocab/course/5500,COMP,5201
http://example.org/vocab/course/5520,COMP,5361
http://example.org/vocab/course/5522,COMP,5421
http://example.org/vocab/course/5530,COMP,5511
http://example.org/vocab/course/5536,COMP,5541
http://example.org/vocab/course/5567,COMP,6231
http://example.org/vocab/course/5575,COMP,6351
http://example.org/vocab/course/5577,COMP,6361
http://example.org/vocab/course/5579,COMP,6411
http://example.org/vocab/course/5585,COMP,6461
http://example.org/vocab/course/5592,COMP,6521
http://example.org/vocab/course/5593,COMP,6531
http://example.org/vocab/course/5610,COMP,6711
http://example.org/vocab/course/5615,COMP,6751
http://example.org/vocab/course/5617,COMP,6761
http://example.org/vocab/course/5619,COMP,6771
http://example.org/vocab/course/5620,COMP,6781
http://example.org/vocab/course/5621,COMP,6791
http://example.org/vocab/course/5622,COMP,6811
http://example.org/vocab/course/5625,COMP,690
http://example.org/vocab/course/5656,COMP,6961
http://example.org/vocab/course/5661,COMP,7241
http://example.org/vocab/course/5678,COMP,7531
http://example.org/vocab/course/5684,COMP,7651
http://example.org/vocab/course/5702,COMP,7781
http://example.org/vocab/course/5703,COMP,790
http://example.org/vocab/course/5720,COMP,791
http://example.org/vocab/course/5724,COMP,792
http://example.org/vocab/course/5731,COMP,890
http://example.org/vocab/course/32001,SOEN,228
http://example.org/vocab/course/32004,SOEN,287
http://example.org/vocab/course/32005,SOEN,321
http://example.org/vocab/course/32006,SOEN,331
http://example.org/vocab/course/32008,SOEN,341
http://example.org/vocab/course/32009,SOEN,342
http://example.org/vocab/course/32010,SOEN,343
http://example.org/vocab/course/32011,SOEN,344
http://example.org/vocab/course/32012,SOEN,345
http://example.org/vocab/course/32013,SOEN,357
http://example.org/vocab/course/32015,SOEN,384
http://example.org/vocab/course/32016,SOEN,385
http://example.org/vocab/course/32017,SOEN,387
http://example.org/vocab/course/32018,SOEN,390
http://example.org/vocab/course/32020,SOEN,422
http://example.org/vocab/course/32021,SOEN,423
http://example.org/vocab/course/32026,SOEN,487
http://example.org/vocab/course/32027,SOEN,490
http://example.org/vocab/course/32029,SOEN,6011
http://example.org/vocab/course/32030,SOEN,6431
